date_key,order_date,month_name,day_name,year,month,week,week_day,day
163,2024-06-11,June,Tuesday,2024,6,24,3,11
164,2024-06-12,June,Wednesday,2024,6,24,4,12
165,2024-06-13,June,Thursday,2024,6,24,5,13
166,2024-06-14,June,Friday,2024,6,24,6,14
167,2024-06-15,June,Saturday,2024,6,24,7,15
168,2024-06-16,June,Sunday,2024,6,25,1,16
169,2024-06-17,June,Monday,2024,6,25,2,17
170,2024-06-18,June,Tuesday,2024,6,25,3,18
171,2024-06-19,June,Wednesday,2024,6,25,4,19
172,2024-06-20,June,Thursday,2024,6,25,5,20
173,2024-06-21,June,Friday,2024,6,25,6,21
174,2024-06-22,June,Saturday,2024,6,25,7,22
175,2024-06-23,June,Sunday,2024,6,26,1,23
176,2024-06-24,June,Monday,2024,6,26,2,24
177,2024-06-25,June,Tuesday,2024,6,26,3,25
178,2024-06-26,June,Wednesday,2024,6,26,4,26
179,2024-06-27,June,Thursday,2024,6,26,5,27
180,2024-06-28,June,Friday,2024,6,26,6,28
181,2024-06-29,June,Saturday,2024,6,26,7,29
182,2024-06-30,June,Sunday,2024,6,27,1,30
183,2024-07-01,July,Monday,2024,7,27,2,1
184,2024-07-02,July,Tuesday,2024,7,27,3,2
185,2024-07-03,July,Wednesday,2024,7,27,4,3
186,2024-07-04,July,Thursday,2024,7,27,5,4
187,2024-07-05,July,Friday,2024,7,27,6,5
188,2024-07-06,July,Saturday,2024,7,27,7,6
189,2024-07-07,July,Sunday,2024,7,28,1,7
190,2024-07-08,July,Monday,2024,7,28,2,8
191,2024-07-09,July,Tuesday,2024,7,28,3,9
192,2024-07-10,July,Wednesday,2024,7,28,4,10
193,2024-07-11,July,Thursday,2024,7,28,5,11
194,2024-07-12,July,Friday,2024,7,28,6,12
195,2024-07-13,July,Saturday,2024,7,28,7,13
196,2024-07-14,July,Sunday,2024,7,29,1,14
197,2024-07-15,July,Monday,2024,7,29,2,15
198,2024-07-16,July,Tuesday,2024,7,29,3,16
199,2024-07-17,July,Wednesday,2024,7,29,4,17
200,2024-07-18,July,Thursday,2024,7,29,5,18
201,2024-07-19,July,Friday,2024,7,29,6,19
202,2024-07-20,July,Saturday,2024,7,29,7,20
203,2024-07-21,July,Sunday,2024,7,30,1,21
204,2024-07-22,July,Monday,2024,7,30,2,22
205,2024-07-23,July,Tuesday,2024,7,30,3,23
206,2024-07-24,July,Wednesday,2024,7,30,4,24
207,2024-07-25,July,Thursday,2024,7,30,5,25
208,2024-07-26,July,Friday,2024,7,30,6,26
209,2024-07-27,July,Saturday,2024,7,30,7,27
210,2024-07-28,July,Sunday,2024,7,31,1,28
211,2024-07-29,July,Monday,2024,7,31,2,29
212,2024-07-30,July,Tuesday,2024,7,31,3,30
213,2024-07-31,July,Wednesday,2024,7,31,4,31
214,2024-08-01,August,Thursday,2024,8,31,5,1
215,2024-08-02,August,Friday,2024,8,31,6,2
216,2024-08-03,August,Saturday,2024,8,31,7,3
217,2024-08-04,August,Sunday,2024,8,32,1,4
218,2024-08-05,August,Monday,2024,8,32,2,5
219,2024-08-06,August,Tuesday,2024,8,32,3,6
220,2024-08-07,August,Wednesday,2024,8,32,4,7
221,2024-08-08,August,Thursday,2024,8,32,5,8
222,2024-08-09,August,Friday,2024,8,32,6,9
223,2024-08-10,August,Saturday,2024,8,32,7,10
224,2024-08-11,August,Sunday,2024,8,33,1,11
225,2024-08-12,August,Monday,2024,8,33,2,12
226,2024-08-13,August,Tuesday,2024,8,33,3,13
227,2024-08-14,August,Wednesday,2024,8,33,4,14
228,2024-08-15,August,Thursday,2024,8,33,5,15
229,2024-08-16,August,Friday,2024,8,33,6,16
230,2024-08-17,August,Saturday,2024,8,33,7,17
231,2024-08-18,August,Sunday,2024,8,34,1,18
232,2024-08-19,August,Monday,2024,8,34,2,19
233,2024-08-20,August,Tuesday,2024,8,34,3,20
234,2024-08-21,August,Wednesday,2024,8,34,4,21
235,2024-08-22,August,Thursday,2024,8,34,5,22
236,2024-08-23,August,Friday,2024,8,34,6,23
237,2024-08-24,August,Saturday,2024,8,34,7,24
238,2024-08-25,August,Sunday,2024,8,35,1,25
239,2024-08-26,August,Monday,2024,8,35,2,26
240,2024-08-27,August,Tuesday,2024,8,35,3,27
241,2024-08-28,August,Wednesday,2024,8,35,4,28
242,2024-08-29,August,Thursday,2024,8,35,5,29
243,2024-08-30,August,Friday,2024,8,35,6,30
244,2024-08-31,August,Saturday,2024,8,35,7,31
245,2024-09-01,September,Sunday,2024,9,36,1,1
246,2024-09-02,September,Monday,2024,9,36,2,2
247,2024-09-03,September,Tuesday,2024,9,36,3,3
248,2024-09-04,September,Wednesday,2024,9,36,4,4
249,2024-09-05,September,Thursday,2024,9,36,5,5
250,2024-09-06,September,Friday,2024,9,36,6,6
251,2024-09-07,September,Saturday,2024,9,36,7,7
252,2024-09-08,September,Sunday,2024,9,37,1,8
253,2024-09-09,September,Monday,2024,9,37,2,9
254,2024-09-10,September,Tuesday,2024,9,37,3,10
255,2024-09-11,September,Wednesday,2024,9,37,4,11
256,2024-09-12,September,Thursday,2024,9,37,5,12
257,2024-09-13,September,Friday,2024,9,37,6,13
258,2024-09-14,September,Saturday,2024,9,37,7,14
259,2024-09-15,September,Sunday,2024,9,38,1,15
260,2024-09-16,September,Monday,2024,9,38,2,16
261,2024-09-17,September,Tuesday,2024,9,38,3,17
262,2024-09-18,September,Wednesday,2024,9,38,4,18
263,2024-09-19,September,Thursday,2024,9,38,5,19
264,2024-09-20,September,Friday,2024,9,38,6,20
265,2024-09-21,September,Saturday,2024,9,38,7,21
266,2024-09-22,September,Sunday,2024,9,39,1,22
267,2024-09-23,September,Monday,2024,9,39,2,23
268,2024-09-24,September,Tuesday,2024,9,39,3,24
269,2024-09-25,September,Wednesday,2024,9,39,4,25
270,2024-09-26,September,Thursday,2024,9,39,5,26
271,2024-09-27,September,Friday,2024,9,39,6,27
272,2024-09-28,September,Saturday,2024,9,39,7,28
273,2024-09-29,September,Sunday,2024,9,40,1,29
274,2024-09-30,September,Monday,2024,9,40,2,30
275,2024-10-01,October,Tuesday,2024,10,40,3,1
276,2024-10-02,October,Wednesday,2024,10,40,4,2
277,2024-10-03,October,Thursday,2024,10,40,5,3
278,2024-10-04,October,Friday,2024,10,40,6,4
279,2024-10-05,October,Saturday,2024,10,40,7,5
280,2024-10-06,October,Sunday,2024,10,41,1,6
281,2024-10-07,October,Monday,2024,10,41,2,7
282,2024-10-08,October,Tuesday,2024,10,41,3,8
283,2024-10-09,October,Wednesday,2024,10,41,4,9
284,2024-10-10,October,Thursday,2024,10,41,5,10
285,2024-10-11,October,Friday,2024,10,41,6,11
286,2024-10-12,October,Saturday,2024,10,41,7,12
287,2024-10-13,October,Sunday,2024,10,42,1,13
288,2024-10-14,October,Monday,2024,10,42,2,14
289,2024-10-15,October,Tuesday,2024,10,42,3,15
290,2024-10-16,October,Wednesday,2024,10,42,4,16
291,2024-10-17,October,Thursday,2024,10,42,5,17
292,2024-10-18,October,Friday,2024,10,42,6,18
293,2024-10-19,October,Saturday,2024,10,42,7,19
294,2024-10-20,October,Sunday,2024,10,43,1,20
295,2024-10-21,October,Monday,2024,10,43,2,21
296,2024-10-22,October,Tuesday,2024,10,43,3,22
297,2024-10-23,October,Wednesday,2024,10,43,4,23
298,2024-10-24,October,Thursday,2024,10,43,5,24
299,2024-10-25,October,Friday,2024,10,43,6,25
300,2024-10-26,October,Saturday,2024,10,43,7,26
301,2024-10-27,October,Sunday,2024,10,44,1,27
302,2024-10-28,October,Monday,2024,10,44,2,28
303,2024-10-29,October,Tuesday,2024,10,44,3,29
304,2024-10-30,October,Wednesday,2024,10,44,4,30
305,2024-10-31,October,Thursday,2024,10,44,5,31
306,2024-11-01,November,Friday,2024,11,44,6,1
307,2024-11-02,November,Saturday,2024,11,44,7,2
308,2024-11-03,November,Sunday,2024,11,45,1,3
309,2024-11-04,November,Monday,2024,11,45,2,4
310,2024-11-05,November,Tuesday,2024,11,45,3,5
311,2024-11-06,November,Wednesday,2024,11,45,4,6
312,2024-11-07,November,Thursday,2024,11,45,5,7
313,2024-11-08,November,Friday,2024,11,45,6,8
314,2024-11-09,November,Saturday,2024,11,45,7,9
315,2024-11-10,November,Sunday,2024,11,46,1,10
316,2024-11-11,November,Monday,2024,11,46,2,11
317,2024-11-12,November,Tuesday,2024,11,46,3,12
318,2024-11-13,November,Wednesday,2024,11,46,4,13
319,2024-11-14,November,Thursday,2024,11,46,5,14
320,2024-11-15,November,Friday,2024,11,46,6,15
321,2024-11-16,November,Saturday,2024,11,46,7,16
322,2024-11-17,November,Sunday,2024,11,47,1,17
323,2024-11-18,November,Monday,2024,11,47,2,18
324,2024-11-19,November,Tuesday,2024,11,47,3,19
325,2024-11-20,November,Wednesday,2024,11,47,4,20
326,2024-11-21,November,Thursday,2024,11,47,5,21
327,2024-11-22,November,Friday,2024,11,47,6,22
328,2024-11-23,November,Saturday,2024,11,47,7,23
329,2024-11-24,November,Sunday,2024,11,48,1,24
330,2024-11-25,November,Monday,2024,11,48,2,25
331,2024-11-26,November,Tuesday,2024,11,48,3,26
332,2024-11-27,November,Wednesday,2024,11,48,4,27
333,2024-11-28,November,Thursday,2024,11,48,5,28
334,2024-11-29,November,Friday,2024,11,48,6,29
335,2024-11-30,November,Saturday,2024,11,48,7,30
336,2024-12-01,December,Sunday,2024,12,49,1,1
337,2024-12-02,December,Monday,2024,12,49,2,2
338,2024-12-03,December,Tuesday,2024,12,49,3,3
339,2024-12-04,December,Wednesday,2024,12,49,4,4
340,2024-12-05,December,Thursday,2024,12,49,5,5
341,2024-12-06,December,Friday,2024,12,49,6,6
342,2024-12-07,December,Saturday,2024,12,49,7,7
343,2024-12-08,December,Sunday,2024,12,50,1,8
344,2024-12-09,December,Monday,2024,12,50,2,9
345,2024-12-10,December,Tuesday,2024,12,50,3,10
346,2024-12-11,December,Wednesday,2024,12,50,4,11
347,2024-12-12,December,Thursday,2024,12,50,5,12
348,2024-12-13,December,Friday,2024,12,50,6,13
349,2024-12-14,December,Saturday,2024,12,50,7,14
350,2024-12-15,December,Sunday,2024,12,51,1,15
351,2024-12-16,December,Monday,2024,12,51,2,16
352,2024-12-17,December,Tuesday,2024,12,51,3,17
353,2024-12-18,December,Wednesday,2024,12,51,4,18
354,2024-12-19,December,Thursday,2024,12,51,5,19
355,2024-12-20,December,Friday,2024,12,51,6,20
356,2024-12-21,December,Saturday,2024,12,51,7,21
357,2024-12-22,December,Sunday,2024,12,52,1,22
358,2024-12-23,December,Monday,2024,12,52,2,23
359,2024-12-24,December,Tuesday,2024,12,52,3,24
360,2024-12-25,December,Wednesday,2024,12,52,4,25
361,2024-12-26,December,Thursday,2024,12,52,5,26
362,2024-12-27,December,Friday,2024,12,52,6,27
363,2024-12-28,December,Saturday,2024,12,52,7,28
364,2024-12-29,December,Sunday,2024,12,53,1,29
365,2024-12-30,December,Monday,2024,12,53,2,30
366,2024-12-31,December,Tuesday,2024,12,53,3,31
367,2025-01-01,January,Wednesday,2025,1,1,4,1
368,2025-01-02,January,Thursday,2025,1,1,5,2
369,2025-01-03,January,Friday,2025,1,1,6,3
370,2025-01-04,January,Saturday,2025,1,1,7,4
371,2025-01-05,January,Sunday,2025,1,2,1,5
372,2025-01-06,January,Monday,2025,1,2,2,6
373,2025-01-07,January,Tuesday,2025,1,2,3,7
374,2025-01-08,January,Wednesday,2025,1,2,4,8
375,2025-01-09,January,Thursday,2025,1,2,5,9
376,2025-01-10,January,Friday,2025,1,2,6,10
377,2025-01-11,January,Saturday,2025,1,2,7,11
378,2025-01-12,January,Sunday,2025,1,3,1,12
379,2025-01-13,January,Monday,2025,1,3,2,13
380,2025-01-14,January,Tuesday,2025,1,3,3,14
381,2025-01-15,January,Wednesday,2025,1,3,4,15
382,2025-01-16,January,Thursday,2025,1,3,5,16
383,2025-01-17,January,Friday,2025,1,3,6,17
384,2025-01-18,January,Saturday,2025,1,3,7,18
385,2025-01-19,January,Sunday,2025,1,4,1,19
386,2025-01-20,January,Monday,2025,1,4,2,20
387,2025-01-21,January,Tuesday,2025,1,4,3,21
388,2025-01-22,January,Wednesday,2025,1,4,4,22
389,2025-01-23,January,Thursday,2025,1,4,5,23
390,2025-01-24,January,Friday,2025,1,4,6,24
391,2025-01-25,January,Saturday,2025,1,4,7,25
392,2025-01-26,January,Sunday,2025,1,5,1,26
393,2025-01-27,January,Monday,2025,1,5,2,27
394,2025-01-28,January,Tuesday,2025,1,5,3,28
395,2025-01-29,January,Wednesday,2025,1,5,4,29
396,2025-01-30,January,Thursday,2025,1,5,5,30
397,2025-01-31,January,Friday,2025,1,5,6,31
398,2025-02-01,February,Saturday,2025,2,5,7,1
399,2025-02-02,February,Sunday,2025,2,6,1,2
400,2025-02-03,February,Monday,2025,2,6,2,3
401,2025-02-04,February,Tuesday,2025,2,6,3,4
402,2025-02-05,February,Wednesday,2025,2,6,4,5
403,2025-02-06,February,Thursday,2025,2,6,5,6
404,2025-02-07,February,Friday,2025,2,6,6,7
405,2025-02-08,February,Saturday,2025,2,6,7,8
406,2025-02-09,February,Sunday,2025,2,7,1,9
407,2025-02-10,February,Monday,2025,2,7,2,10
408,2025-02-11,February,Tuesday,2025,2,7,3,11
409,2025-02-12,February,Wednesday,2025,2,7,4,12
410,2025-02-13,February,Thursday,2025,2,7,5,13
411,2025-02-14,February,Friday,2025,2,7,6,14
412,2025-02-15,February,Saturday,2025,2,7,7,15
413,2025-02-16,February,Sunday,2025,2,8,1,16
414,2025-02-17,February,Monday,2025,2,8,2,17
415,2025-02-18,February,Tuesday,2025,2,8,3,18
416,2025-02-19,February,Wednesday,2025,2,8,4,19
417,2025-02-20,February,Thursday,2025,2,8,5,20
418,2025-02-21,February,Friday,2025,2,8,6,21
419,2025-02-22,February,Saturday,2025,2,8,7,22
420,2025-02-23,February,Sunday,2025,2,9,1,23
421,2025-02-24,February,Monday,2025,2,9,2,24
422,2025-02-25,February,Tuesday,2025,2,9,3,25
423,2025-02-26,February,Wednesday,2025,2,9,4,26
424,2025-02-27,February,Thursday,2025,2,9,5,27
425,2025-02-28,February,Friday,2025,2,9,6,28
426,2025-03-01,March,Saturday,2025,3,9,7,1
427,2025-03-02,March,Sunday,2025,3,10,1,2
428,2025-03-03,March,Monday,2025,3,10,2,3
429,2025-03-04,March,Tuesday,2025,3,10,3,4
430,2025-03-05,March,Wednesday,2025,3,10,4,5
431,2025-03-06,March,Thursday,2025,3,10,5,6
432,2025-03-07,March,Friday,2025,3,10,6,7
433,2025-03-08,March,Saturday,2025,3,10,7,8
434,2025-03-09,March,Sunday,2025,3,11,1,9
435,2025-03-10,March,Monday,2025,3,11,2,10
436,2025-03-11,March,Tuesday,2025,3,11,3,11
437,2025-03-12,March,Wednesday,2025,3,11,4,12
438,2025-03-13,March,Thursday,2025,3,11,5,13
439,2025-03-14,March,Friday,2025,3,11,6,14
440,2025-03-15,March,Saturday,2025,3,11,7,15
441,2025-03-16,March,Sunday,2025,3,12,1,16
442,2025-03-17,March,Monday,2025,3,12,2,17
443,2025-03-18,March,Tuesday,2025,3,12,3,18
444,2025-03-19,March,Wednesday,2025,3,12,4,19
445,2025-03-20,March,Thursday,2025,3,12,5,20
446,2025-03-21,March,Friday,2025,3,12,6,21
447,2025-03-22,March,Saturday,2025,3,12,7,22
448,2025-03-23,March,Sunday,2025,3,13,1,23
449,2025-03-24,March,Monday,2025,3,13,2,24
450,2025-03-25,March,Tuesday,2025,3,13,3,25
451,2025-03-26,March,Wednesday,2025,3,13,4,26
452,2025-03-27,March,Thursday,2025,3,13,5,27
453,2025-03-28,March,Friday,2025,3,13,6,28
454,2025-03-29,March,Saturday,2025,3,13,7,29
455,2025-03-30,March,Sunday,2025,3,14,1,30
456,2025-03-31,March,Monday,2025,3,14,2,31
457,2025-04-01,April,Tuesday,2025,4,14,3,1
458,2025-04-02,April,Wednesday,2025,4,14,4,2
459,2025-04-03,April,Thursday,2025,4,14,5,3
460,2025-04-04,April,Friday,2025,4,14,6,4
461,2025-04-05,April,Saturday,2025,4,14,7,5
462,2025-04-06,April,Sunday,2025,4,15,1,6
463,2025-04-07,April,Monday,2025,4,15,2,7
464,2025-04-08,April,Tuesday,2025,4,15,3,8
465,2025-04-09,April,Wednesday,2025,4,15,4,9
466,2025-04-10,April,Thursday,2025,4,15,5,10
467,2025-04-11,April,Friday,2025,4,15,6,11
468,2025-04-12,April,Saturday,2025,4,15,7,12
469,2025-04-13,April,Sunday,2025,4,16,1,13
470,2025-04-14,April,Monday,2025,4,16,2,14
471,2025-04-15,April,Tuesday,2025,4,16,3,15
472,2025-04-16,April,Wednesday,2025,4,16,4,16
473,2025-04-17,April,Thursday,2025,4,16,5,17
474,2025-04-18,April,Friday,2025,4,16,6,18
475,2025-04-19,April,Saturday,2025,4,16,7,19
476,2025-04-20,April,Sunday,2025,4,17,1,20
477,2025-04-21,April,Monday,2025,4,17,2,21
478,2025-04-22,April,Tuesday,2025,4,17,3,22
479,2025-04-23,April,Wednesday,2025,4,17,4,23
480,2025-04-24,April,Thursday,2025,4,17,5,24
481,2025-04-25,April,Friday,2025,4,17,6,25
482,2025-04-26,April,Saturday,2025,4,17,7,26
483,2025-04-27,April,Sunday,2025,4,18,1,27
484,2025-04-28,April,Monday,2025,4,18,2,28
485,2025-04-29,April,Tuesday,2025,4,18,3,29
486,2025-04-30,April,Wednesday,2025,4,18,4,30
487,2025-05-01,May,Thursday,2025,5,18,5,1
488,2025-05-02,May,Friday,2025,5,18,6,2
489,2025-05-03,May,Saturday,2025,5,18,7,3
490,2025-05-04,May,Sunday,2025,5,19,1,4
491,2025-05-05,May,Monday,2025,5,19,2,5
492,2025-05-06,May,Tuesday,2025,5,19,3,6
493,2025-05-07,May,Wednesday,2025,5,19,4,7
494,2025-05-08,May,Thursday,2025,5,19,5,8
495,2025-05-09,May,Friday,2025,5,19,6,9
496,2025-05-10,May,Saturday,2025,5,19,7,10
497,2025-05-11,May,Sunday,2025,5,20,1,11
498,2025-05-12,May,Monday,2025,5,20,2,12
499,2025-05-13,May,Tuesday,2025,5,20,3,13
500,2025-05-14,May,Wednesday,2025,5,20,4,14
501,2025-05-15,May,Thursday,2025,5,20,5,15
502,2025-05-16,May,Friday,2025,5,20,6,16
503,2025-05-17,May,Saturday,2025,5,20,7,17
504,2025-05-18,May,Sunday,2025,5,21,1,18
505,2025-05-19,May,Monday,2025,5,21,2,19
506,2025-05-20,May,Tuesday,2025,5,21,3,20
507,2025-05-21,May,Wednesday,2025,5,21,4,21
508,2025-05-22,May,Thursday,2025,5,21,5,22
509,2025-05-23,May,Friday,2025,5,21,6,23
510,2025-05-24,May,Saturday,2025,5,21,7,24
511,2025-05-25,May,Sunday,2025,5,22,1,25
512,2025-05-26,May,Monday,2025,5,22,2,26
513,2025-05-27,May,Tuesday,2025,5,22,3,27
514,2025-05-28,May,Wednesday,2025,5,22,4,28
515,2025-05-29,May,Thursday,2025,5,22,5,29
516,2025-05-30,May,Friday,2025,5,22,6,30
