order_key,customer_key,date_key,geo_key,channel_key,payment_key,discount_rate_level_key,flag_key,campaign_key,total_items,unique_products,subtotal,discount_amount,discount_rate,shipping_cost,tax_amount,revenue,profit,profit_margin,days_to_ship,days_to_deliver,ship_to_delivery_days,order_date,ship_date,delivery_date
16,15062,688,20,21,11,3,8,NULL,5,3,143.06,12.22,8.73,0.00,9.16,140.00,30.87,22.05,NULL,NULL,NULL,2025-11-18,NULL,NULL
17,13271,667,15,3,18,1,9,NULL,4,2,128.94,0.00,0.00,0.00,25.79,154.73,57.64,37.25,1,2,1,2025-10-28,2025-10-29,2025-10-30
18,15793,881,20,22,10,1,4,NULL,1,1,68.31,0.00,0.00,4.59,4.78,77.68,33.38,42.97,1,7,6,2026-05-30,2026-05-31,2026-06-06
19,5831,873,17,19,16,1,20,NULL,2,2,106.06,0.00,0.00,7.59,7.42,121.07,45.49,37.57,2,6,4,2026-05-22,2026-05-24,2026-05-28
20,13813,942,6,22,10,3,19,NULL,1,1,56.13,4.34,6.74,5.83,6.73,64.35,23.24,36.11,2,6,4,2026-07-30,2026-08-01,2026-08-05
21,2974,737,20,22,18,1,9,2,1,1,15.32,0.00,0.00,16.70,1.07,33.09,4.86,14.69,0,1,1,2026-01-06,2026-01-06,2026-01-07
22,12367,445,11,4,8,1,10,NULL,5,4,166.10,0.00,0.00,13.76,31.56,211.42,79.79,37.74,1,2,1,2025-03-20,2025-03-21,2025-03-22
23,10655,773,17,8,2,5,11,NULL,5,5,167.98,31.67,18.93,21.44,9.54,167.29,46.76,27.95,0,1,1,2026-02-11,2026-02-11,2026-02-12
24,4871,502,18,23,4,6,10,NULL,2,2,39.49,10.73,22.78,16.34,2.01,47.11,5.43,11.53,1,3,2,2025-05-16,2025-05-17,2025-05-19
25,10185,354,19,19,3,1,8,NULL,2,2,61.64,0.00,0.00,12.19,4.31,78.14,25.69,32.88,NULL,NULL,NULL,2024-12-19,NULL,NULL
26,15476,44,17,21,10,6,7,NULL,2,2,105.81,22.48,21.76,14.15,5.83,103.31,11.96,11.58,1,NULL,NULL,2024-02-13,2024-02-14,NULL
27,14115,824,20,5,14,5,16,NULL,1,1,55.16,9.71,18.04,5.19,3.18,53.82,8.72,16.20,2,7,5,2026-04-03,2026-04-05,2026-04-10
28,13159,548,20,19,10,1,19,NULL,1,1,107.82,0.00,0.00,0.00,7.55,115.37,40.34,34.97,2,7,5,2025-07-01,2025-07-03,2025-07-08
29,16694,445,20,6,6,1,9,NULL,3,3,85.47,0.00,0.00,14.22,5.98,105.67,37.89,35.86,0,1,1,2025-03-20,2025-03-20,2025-03-21
30,7449,644,18,3,6,1,8,NULL,5,5,119.09,0.00,0.00,16.71,8.34,144.14,50.62,35.12,NULL,NULL,NULL,2025-10-05,NULL,NULL
31,12348,149,9,4,6,5,19,2,5,4,234.41,38.96,16.39,5.11,37.14,237.70,28.23,11.88,2,6,4,2024-05-28,2024-05-30,2024-06-03
32,3017,218,8,24,11,1,19,NULL,5,3,115.92,0.00,0.00,7.72,15.07,138.71,52.58,37.91,0,4,4,2024-08-05,2024-08-05,2024-08-09
33,903,143,17,24,19,1,19,NULL,2,2,137.63,0.00,0.00,0.00,9.63,147.26,53.48,36.32,1,3,2,2024-05-22,2024-05-23,2024-05-25
34,3439,316,20,21,6,5,6,NULL,4,4,253.85,37.85,15.46,13.73,15.12,244.85,56.34,23.01,1,2,1,2024-11-11,2024-11-12,2024-11-13
35,21559,959,6,22,7,4,6,NULL,4,3,55.32,8.63,12.65,15.45,6.07,68.21,13.75,20.16,1,3,2,2026-08-16,2026-08-17,2026-08-19
36,13704,696,19,24,7,4,9,7,4,3,54.60,7.18,11.38,12.35,3.32,63.09,14.42,22.86,1,3,2,2025-11-26,2025-11-27,2025-11-29
37,7502,797,19,7,14,6,19,NULL,2,2,62.34,15.20,26.65,6.60,3.30,57.04,12.71,22.28,1,4,3,2026-03-07,2026-03-08,2026-03-11
38,15689,883,21,12,6,3,19,NULL,1,1,43.31,3.17,6.52,5.68,2.81,48.63,12.97,26.67,1,4,3,2026-06-01,2026-06-02,2026-06-05
39,5458,306,15,8,10,1,9,2,3,2,47.12,0.00,0.00,16.02,9.42,72.56,19.07,26.28,0,2,2,2024-11-01,2024-11-01,2024-11-03
40,1072,278,17,21,6,1,12,NULL,5,5,74.38,0.00,0.00,21.73,5.21,101.32,32.16,31.74,0,NULL,NULL,2024-10-04,2024-10-04,NULL
41,12719,156,20,22,7,5,9,NULL,1,1,50.60,10.86,19.76,12.45,2.78,54.97,5.84,10.62,0,2,2,2024-06-04,2024-06-04,2024-06-06
42,13140,633,10,5,10,1,9,NULL,3,3,47.86,0.00,0.00,16.04,9.09,72.99,23.32,31.95,1,3,2,2025-09-24,2025-09-25,2025-09-27
43,2238,210,17,23,6,1,9,NULL,4,2,24.87,0.00,0.00,17.37,1.74,43.98,11.53,26.22,1,2,1,2024-07-28,2024-07-29,2024-07-30
44,15650,243,20,24,10,1,9,3,3,3,202.43,0.00,0.00,14.47,14.17,231.07,74.88,32.41,0,1,1,2024-08-30,2024-08-30,2024-08-31
45,13214,317,19,19,18,3,16,NULL,3,2,46.05,4.72,9.06,7.88,2.89,52.10,9.63,18.48,2,4,2,2024-11-12,2024-11-14,2024-11-16
46,3213,334,17,24,10,1,7,NULL,4,3,32.21,0.00,0.00,17.68,2.25,52.14,11.24,21.56,0,NULL,NULL,2024-11-29,2024-11-29,NULL
47,6656,285,15,20,2,5,9,NULL,2,2,103.19,17.41,16.91,0.00,17.16,102.94,14.43,14.02,0,2,2,2024-10-11,2024-10-11,2024-10-13
48,7337,722,6,20,6,5,16,NULL,2,2,30.62,5.77,16.55,6.79,3.23,34.87,6.35,18.21,1,6,5,2025-12-22,2025-12-23,2025-12-28
49,5894,480,5,21,6,1,6,NULL,2,2,59.54,0.00,0.00,13.01,7.74,80.29,17.66,22.00,1,3,2,2025-04-24,2025-04-25,2025-04-27
50,6665,775,17,3,10,1,19,NULL,3,3,50.18,0.00,0.00,6.64,3.51,60.33,16.80,27.85,1,5,4,2026-02-13,2026-02-14,2026-02-18
51,358,766,19,20,20,1,18,NULL,4,4,264.16,0.00,0.00,5.89,18.49,288.54,78.87,27.33,NULL,NULL,NULL,2026-02-04,NULL,NULL
52,19591,182,17,24,6,1,2,NULL,3,3,72.55,0.00,0.00,3.22,5.08,80.85,29.05,35.93,2,NULL,NULL,2024-06-30,2024-07-02,NULL
53,17378,628,15,10,10,1,3,NULL,2,2,45.90,0.00,0.00,3.23,9.18,58.31,17.43,29.89,NULL,NULL,NULL,2025-09-19,NULL,NULL
54,4095,543,3,21,5,1,3,NULL,3,3,109.71,0.00,0.00,3.64,10.97,124.32,54.75,44.04,NULL,NULL,NULL,2025-06-26,NULL,NULL
55,2731,860,5,24,14,5,1,NULL,2,2,59.10,10.18,17.25,3.75,6.36,59.03,14.17,24.00,2,10,8,2026-05-09,2026-05-11,2026-05-19
56,5017,743,18,7,10,1,6,NULL,3,2,25.33,0.00,0.00,15.57,1.77,42.67,9.76,22.87,0,1,1,2026-01-12,2026-01-12,2026-01-13
57,12982,967,19,9,2,1,18,NULL,2,2,54.69,0.00,0.00,5.81,3.83,64.33,19.20,29.85,NULL,NULL,NULL,2026-08-24,NULL,NULL
58,18345,685,18,23,14,1,19,NULL,5,5,145.84,0.00,0.00,6.81,10.21,162.86,67.19,41.26,1,3,2,2025-11-15,2025-11-16,2025-11-18
59,21788,140,17,3,6,4,17,NULL,3,3,36.27,4.60,11.70,5.41,2.22,39.30,11.94,30.38,0,NULL,NULL,2024-05-19,2024-05-19,NULL
60,432,305,5,11,18,6,19,NULL,1,1,68.83,15.28,22.78,6.58,6.96,67.09,16.54,24.65,1,3,2,2024-10-31,2024-11-01,2024-11-03
61,7782,425,9,20,6,1,4,NULL,2,2,52.06,0.00,0.00,4.25,9.89,66.20,24.60,37.16,2,7,5,2025-02-28,2025-03-02,2025-03-07
62,2529,666,19,20,6,1,14,NULL,5,5,258.45,0.00,0.00,0.00,18.09,276.54,85.69,30.99,0,0,0,2025-10-27,2025-10-27,2025-10-27
63,11393,600,13,11,2,6,9,NULL,2,2,47.21,12.28,20.81,17.10,6.99,59.02,6.51,11.03,1,2,1,2025-08-22,2025-08-23,2025-08-24
64,3384,676,20,23,6,4,19,NULL,2,2,40.02,4.50,10.34,5.52,2.49,43.53,9.25,21.25,0,3,3,2025-11-06,2025-11-06,2025-11-09
65,5027,543,15,22,18,1,7,NULL,4,3,106.07,0.00,0.00,0.00,21.21,127.28,38.11,29.94,0,NULL,NULL,2025-06-26,2025-06-26,NULL
66,7441,370,20,10,17,1,8,NULL,3,3,72.78,0.00,0.00,14.30,5.09,92.17,34.55,37.49,NULL,NULL,NULL,2025-01-04,NULL,NULL
67,5935,337,15,16,8,1,15,6,3,3,39.87,0.00,0.00,25.82,7.97,73.66,16.96,23.02,0,0,0,2024-12-02,2024-12-02,2024-12-02
68,10026,310,19,21,6,7,19,NULL,3,3,57.75,16.81,32.51,7.90,2.87,51.71,9.53,18.43,1,4,3,2024-11-05,2024-11-06,2024-11-09
69,5696,7,20,11,18,7,4,NULL,6,5,240.48,69.50,37.24,3.68,11.97,186.63,19.75,10.58,3,11,8,2024-01-07,2024-01-10,2024-01-18
70,11233,761,17,21,10,4,19,NULL,4,1,79.36,9.30,11.22,7.91,4.90,82.87,24.50,29.56,0,2,2,2026-01-30,2026-01-30,2026-02-01
71,12310,451,19,8,10,5,17,5,2,2,21.71,4.55,17.82,7.18,1.20,25.54,5.16,20.20,2,NULL,NULL,2025-03-26,2025-03-28,NULL
72,20949,164,13,20,4,1,20,NULL,6,4,92.57,0.00,0.00,7.84,18.51,118.92,36.40,30.61,0,3,3,2024-06-12,2024-06-12,2024-06-15
73,7156,490,1,4,12,1,10,NULL,2,2,39.93,0.00,0.00,13.02,3.99,56.94,13.81,24.25,0,2,2,2025-05-04,2025-05-04,2025-05-06
74,99,116,14,21,6,1,18,NULL,2,2,21.92,0.00,0.00,6.02,4.38,32.32,8.75,27.07,NULL,NULL,NULL,2024-04-25,NULL,NULL
75,10297,448,6,24,10,5,1,NULL,8,7,252.13,43.82,18.28,4.29,27.08,239.68,60.48,25.23,2,7,5,2025-03-23,2025-03-25,2025-03-30
76,3457,164,19,23,10,1,17,NULL,5,4,227.59,0.00,0.00,0.00,15.93,243.52,109.99,45.17,0,NULL,NULL,2024-06-12,2024-06-12,NULL
77,17453,710,17,5,5,6,3,NULL,4,3,66.79,14.10,23.16,4.49,3.69,60.87,15.46,25.40,NULL,NULL,NULL,2025-12-10,NULL,NULL
78,640,766,17,16,6,4,19,NULL,3,1,40.52,4.96,11.25,6.02,2.49,44.07,10.65,24.17,1,5,4,2026-02-04,2026-02-05,2026-02-09
79,10253,244,17,2,14,1,19,NULL,3,2,98.21,0.00,0.00,7.68,6.87,112.76,43.49,38.57,1,5,4,2024-08-31,2024-09-01,2024-09-05
80,19329,283,17,9,18,1,19,NULL,1,1,20.76,0.00,0.00,6.08,1.45,28.29,7.44,26.30,0,4,4,2024-10-09,2024-10-09,2024-10-13
81,318,103,17,21,6,4,19,NULL,4,4,50.27,6.22,11.63,6.37,3.08,53.50,15.83,29.59,2,7,5,2024-04-12,2024-04-14,2024-04-19
82,9402,568,17,22,8,7,20,4,4,2,86.80,23.10,31.24,5.78,4.46,73.94,9.04,12.23,2,4,2,2025-07-21,2025-07-23,2025-07-25
83,2235,907,20,13,19,1,17,NULL,3,3,24.90,0.00,0.00,5.97,1.74,32.61,12.03,36.89,0,NULL,NULL,2026-06-25,2026-06-25,NULL
84,4737,957,19,12,18,3,19,2,2,2,175.03,14.16,7.91,6.81,11.26,178.94,66.43,37.12,0,4,4,2026-08-14,2026-08-14,2026-08-18
85,12437,553,19,21,6,4,19,NULL,5,4,194.47,26.25,14.05,6.87,11.78,186.87,35.80,19.16,0,5,5,2025-07-06,2025-07-06,2025-07-11
86,8026,326,17,22,18,3,9,NULL,5,2,45.50,5.47,9.50,14.75,2.80,57.58,12.66,21.99,1,2,1,2024-11-21,2024-11-22,2024-11-23
87,12653,261,18,22,6,4,19,6,2,2,54.53,6.90,11.77,7.67,3.33,58.63,15.42,26.30,2,5,3,2024-09-17,2024-09-19,2024-09-22
88,6272,275,20,22,8,1,18,3,2,2,25.28,0.00,0.00,7.97,1.77,35.02,10.76,30.73,NULL,NULL,NULL,2024-10-01,NULL,NULL
89,11777,568,19,10,6,4,9,4,2,2,54.88,7.61,11.20,17.36,3.31,67.94,7.97,11.73,1,3,2,2025-07-21,2025-07-22,2025-07-24
90,3626,427,18,23,14,1,7,NULL,5,5,94.89,0.00,0.00,14.93,6.64,116.46,43.83,37.64,1,NULL,NULL,2025-03-02,2025-03-03,NULL
91,21568,86,17,9,14,1,19,NULL,2,2,23.92,0.00,0.00,5.48,1.67,31.07,10.41,33.50,2,6,4,2024-03-26,2024-03-28,2024-04-01
92,3457,705,18,9,18,1,16,NULL,2,2,75.36,0.00,0.00,5.21,5.28,85.85,22.34,26.02,0,4,4,2025-12-05,2025-12-05,2025-12-09
93,1369,199,17,4,20,1,18,NULL,3,3,112.78,0.00,0.00,0.00,7.89,120.67,32.73,27.12,NULL,NULL,NULL,2024-07-17,NULL,NULL
94,9823,719,19,22,6,1,7,NULL,3,2,98.51,0.00,0.00,15.00,6.90,120.41,43.15,35.84,0,NULL,NULL,2025-12-19,2025-12-19,NULL
95,16219,567,15,22,6,1,9,NULL,4,4,164.08,0.00,0.00,0.00,32.82,196.90,59.07,30.00,1,3,2,2025-07-20,2025-07-21,2025-07-23
96,18986,443,15,8,8,5,20,2,3,3,51.96,8.91,15.58,5.52,8.61,57.18,14.15,24.75,1,6,5,2025-03-18,2025-03-19,2025-03-24
97,21215,396,20,8,18,5,19,NULL,1,1,29.14,4.81,15.08,5.87,1.70,31.90,5.20,16.30,2,6,4,2025-01-30,2025-02-01,2025-02-05
98,2137,365,17,19,2,1,9,NULL,4,4,154.23,0.00,0.00,0.00,10.80,165.03,44.18,26.77,1,3,2,2024-12-30,2024-12-31,2025-01-02
99,14938,518,15,3,6,5,16,NULL,4,3,91.31,16.51,17.40,5.14,14.96,94.90,23.86,25.14,1,3,2,2025-06-01,2025-06-02,2025-06-04
100,2109,91,20,21,2,5,19,NULL,4,3,101.64,16.02,17.49,0.00,5.99,91.61,24.31,26.54,0,3,3,2024-03-31,2024-03-31,2024-04-03
101,409,726,13,24,6,4,19,NULL,4,3,108.12,12.86,11.25,0.00,19.05,114.31,35.45,31.01,1,5,4,2025-12-26,2025-12-27,2025-12-31
102,11671,63,19,22,6,1,9,NULL,5,4,64.45,0.00,0.00,12.24,4.51,81.20,20.63,25.41,1,2,1,2024-03-03,2024-03-04,2024-03-05
103,6931,591,17,23,10,7,19,NULL,4,4,80.71,21.50,31.17,5.62,4.14,68.97,8.79,12.74,0,2,2,2025-08-13,2025-08-13,2025-08-15
104,3297,270,14,2,6,1,14,5,3,3,123.13,0.00,0.00,23.29,24.63,171.05,40.66,23.77,0,0,0,2024-09-26,2024-09-26,2024-09-26
105,9721,769,5,9,18,7,19,NULL,3,3,185.46,53.23,34.22,6.11,17.19,155.53,5.38,3.46,2,4,2,2026-02-07,2026-02-09,2026-02-11
106,14384,936,15,1,6,1,7,NULL,3,1,40.70,0.00,0.00,13.88,8.14,62.72,13.12,20.92,1,NULL,NULL,2026-07-24,2026-07-25,NULL
107,42,528,9,1,19,6,19,NULL,4,4,130.29,27.95,21.95,5.54,19.44,127.32,30.10,23.64,1,4,3,2025-06-11,2025-06-12,2025-06-15
108,19913,9,13,9,18,1,9,NULL,3,2,108.57,0.00,0.00,14.75,21.71,145.03,38.79,26.75,1,2,1,2024-01-09,2024-01-10,2024-01-11
109,9025,399,17,4,10,4,9,NULL,4,3,101.05,12.94,11.53,17.91,6.17,112.19,23.72,21.14,0,2,2,2025-02-02,2025-02-02,2025-02-04
110,7717,744,6,4,10,1,4,NULL,7,7,204.42,0.00,0.00,4.38,26.57,235.37,102.01,43.34,0,5,5,2026-01-13,2026-01-13,2026-01-18
111,12639,850,17,3,18,1,9,NULL,2,2,128.47,0.00,0.00,17.20,8.99,154.66,44.56,28.81,1,2,1,2026-04-29,2026-04-30,2026-05-01
112,1330,247,17,9,6,1,9,NULL,1,1,27.74,0.00,0.00,12.61,1.94,42.29,13.41,31.71,0,1,1,2024-09-03,2024-09-03,2024-09-04
113,21286,504,17,10,6,1,4,6,3,3,49.89,0.00,0.00,3.36,3.49,56.74,23.43,41.29,0,8,8,2025-05-18,2025-05-18,2025-05-26
114,8610,126,11,23,14,5,16,NULL,4,2,33.42,7.40,19.33,7.32,4.94,38.28,7.32,19.12,0,3,3,2024-05-05,2024-05-05,2024-05-08
115,16212,703,15,9,6,1,18,NULL,2,2,40.49,0.00,0.00,5.67,8.10,54.26,18.17,33.49,NULL,NULL,NULL,2025-12-03,NULL,NULL
116,9011,923,18,14,8,5,10,NULL,2,2,87.61,14.71,16.29,12.32,5.10,90.32,14.17,15.69,1,3,2,2026-07-11,2026-07-12,2026-07-14
117,8516,158,19,24,12,4,10,NULL,3,2,239.40,28.45,11.72,16.99,14.77,242.71,78.49,32.34,1,2,1,2024-06-06,2024-06-07,2024-06-08
118,5018,109,6,10,8,1,20,NULL,2,2,49.45,0.00,0.00,6.86,6.43,62.74,16.36,26.08,1,6,5,2024-04-18,2024-04-19,2024-04-24
119,12075,27,15,23,18,3,19,NULL,4,2,219.99,21.88,8.91,7.72,39.62,245.45,63.42,25.84,1,6,5,2024-01-27,2024-01-28,2024-02-02
120,6807,961,19,22,8,7,5,NULL,3,2,94.52,26.12,33.70,4.32,4.79,77.51,14.10,18.19,0,4,4,2026-08-18,2026-08-18,2026-08-22
121,4074,614,13,21,18,1,18,NULL,5,5,68.43,0.00,0.00,7.86,13.69,89.98,31.10,34.56,NULL,NULL,NULL,2025-09-05,NULL,NULL
122,3869,325,17,9,7,7,18,NULL,3,2,426.75,112.14,32.55,7.85,22.02,344.48,69.02,20.04,NULL,NULL,NULL,2024-11-20,NULL,NULL
123,5363,676,13,7,6,5,19,NULL,3,3,71.78,14.22,18.76,6.71,11.51,75.78,11.72,15.47,0,2,2,2025-11-06,2025-11-06,2025-11-08
124,17761,335,20,22,10,1,19,3,5,2,121.50,0.00,0.00,6.39,8.51,136.40,37.83,27.73,2,7,5,2024-11-30,2024-12-02,2024-12-07
125,5110,137,18,11,6,6,9,NULL,5,2,147.25,37.81,29.01,13.22,7.66,130.32,26.12,20.04,0,1,1,2024-05-16,2024-05-16,2024-05-17
126,7575,176,18,9,16,1,20,NULL,6,6,292.62,0.00,0.00,5.82,20.48,318.92,102.77,32.22,0,2,2,2024-06-24,2024-06-24,2024-06-26
127,4901,676,19,23,6,1,19,NULL,3,3,69.38,0.00,0.00,6.08,4.86,80.32,22.86,28.46,1,6,5,2025-11-06,2025-11-07,2025-11-12
128,4375,542,13,24,6,1,19,NULL,3,2,142.66,0.00,0.00,5.96,28.53,177.15,68.40,38.61,0,4,4,2025-06-25,2025-06-25,2025-06-29
129,6777,390,19,7,6,1,4,NULL,4,4,77.73,0.00,0.00,3.43,5.44,86.60,25.31,29.23,1,8,7,2025-01-24,2025-01-25,2025-02-01
130,16427,596,14,24,6,6,9,NULL,4,3,114.56,29.04,28.30,0.00,17.10,102.62,3.30,3.22,1,3,2,2025-08-18,2025-08-19,2025-08-21
131,17415,178,19,23,18,5,19,NULL,3,3,53.68,8.75,15.66,7.79,3.15,55.87,7.90,14.14,2,5,3,2024-06-26,2024-06-28,2024-07-01
132,16238,628,6,21,6,1,11,NULL,2,2,37.63,0.00,0.00,26.38,4.89,68.90,12.63,18.33,0,0,0,2025-09-19,2025-09-19,2025-09-19
133,4170,562,14,3,6,1,9,NULL,2,2,47.22,0.00,0.00,13.53,9.44,70.19,22.51,32.07,0,2,2,2025-07-15,2025-07-15,2025-07-17
134,13816,793,10,9,18,1,17,NULL,2,2,24.10,0.00,0.00,7.04,4.58,35.72,7.78,21.78,0,NULL,NULL,2026-03-03,2026-03-03,NULL
135,9368,99,21,21,10,3,9,NULL,6,6,589.74,37.01,6.08,17.54,38.69,608.96,165.51,27.18,0,2,2,2024-04-08,2024-04-08,2024-04-10
136,9063,411,15,2,2,1,9,2,1,1,35.89,0.00,0.00,14.97,7.18,58.04,13.98,24.09,1,3,2,2025-02-14,2025-02-15,2025-02-17
137,1474,718,15,24,18,3,19,NULL,2,2,62.99,6.47,8.70,6.55,11.30,74.37,22.17,29.81,1,3,2,2025-12-18,2025-12-19,2025-12-21
138,18930,142,18,9,18,1,4,NULL,1,1,16.98,0.00,0.00,3.89,1.19,22.06,7.02,31.82,1,7,6,2024-05-21,2024-05-22,2024-05-28
139,21003,756,20,19,2,1,19,NULL,2,2,171.56,0.00,0.00,0.00,12.01,183.57,52.40,28.54,2,4,2,2026-01-25,2026-01-27,2026-01-29
140,7366,208,9,20,6,5,19,NULL,2,2,30.08,6.23,17.71,6.79,4.53,35.17,6.16,17.51,2,5,3,2024-07-26,2024-07-28,2024-07-31
141,18593,967,21,22,6,1,19,NULL,6,5,99.60,0.00,0.00,5.03,6.97,111.60,33.09,29.65,2,7,5,2026-08-24,2026-08-26,2026-08-31
142,14980,156,18,24,14,5,19,NULL,3,3,44.44,7.87,17.32,6.32,2.56,45.45,5.42,11.93,0,5,5,2024-06-04,2024-06-04,2024-06-09
143,17453,62,17,8,6,1,19,NULL,3,3,277.97,0.00,0.00,5.29,19.46,302.72,91.52,30.23,0,2,2,2024-03-02,2024-03-02,2024-03-04
144,4660,754,18,2,6,6,19,NULL,3,1,97.07,23.32,27.37,6.30,5.16,85.21,3.91,4.59,0,2,2,2026-01-23,2026-01-23,2026-01-25
145,7022,149,20,22,6,1,19,2,4,2,120.84,0.00,0.00,7.10,8.46,136.40,40.54,29.72,2,4,2,2024-05-28,2024-05-30,2024-06-01
146,4274,836,9,5,6,1,18,NULL,4,4,102.63,0.00,0.00,5.80,19.50,127.93,32.88,25.70,NULL,NULL,NULL,2026-04-15,NULL,NULL
147,8632,87,18,12,6,6,19,NULL,4,4,27.34,7.54,27.71,6.02,1.39,27.21,2.73,10.03,1,6,5,2024-03-27,2024-03-28,2024-04-02
148,127,624,17,4,11,4,17,NULL,2,2,83.93,10.84,12.95,5.47,5.12,83.68,23.83,28.48,2,NULL,NULL,2025-09-15,2025-09-17,NULL
149,4674,617,19,11,20,1,18,NULL,2,2,81.51,0.00,0.00,6.09,5.71,93.31,35.50,38.05,NULL,NULL,NULL,2025-09-08,NULL,NULL
150,8471,851,18,21,18,3,19,NULL,8,7,418.40,30.18,7.16,6.31,27.18,421.71,166.35,39.45,0,4,4,2026-04-30,2026-04-30,2026-05-04
151,19741,455,15,17,6,5,19,NULL,3,2,44.46,8.14,16.20,6.66,7.26,50.24,6.39,12.72,2,7,5,2025-03-30,2025-04-01,2025-04-06
152,10395,505,19,19,19,1,19,NULL,3,3,132.12,0.00,0.00,6.20,9.25,147.57,37.01,25.08,2,7,5,2025-05-19,2025-05-21,2025-05-26
153,542,269,10,10,10,1,19,NULL,4,4,577.38,0.00,0.00,5.96,109.70,693.04,262.31,37.85,1,4,3,2024-09-25,2024-09-26,2024-09-29
154,7697,757,20,4,8,1,18,NULL,3,3,79.93,0.00,0.00,5.81,5.60,91.34,25.36,27.76,NULL,NULL,NULL,2026-01-26,NULL,NULL
155,16988,773,10,19,6,1,9,NULL,3,3,56.09,0.00,0.00,16.99,10.66,83.74,16.14,19.27,1,3,2,2026-02-11,2026-02-12,2026-02-14
156,6657,102,5,20,14,1,19,NULL,4,3,134.79,0.00,0.00,0.00,17.52,152.31,60.84,39.94,0,3,3,2024-04-11,2024-04-11,2024-04-14
157,4216,63,6,19,5,6,18,NULL,4,4,40.34,8.78,21.39,5.39,4.10,41.05,3.90,9.50,NULL,NULL,NULL,2024-03-03,NULL,NULL
158,16723,428,10,3,6,6,19,NULL,5,4,66.83,15.31,23.06,5.07,9.79,66.38,15.46,23.29,2,4,2,2025-03-03,2025-03-05,2025-03-07
159,14240,52,17,1,18,1,16,NULL,6,5,179.55,0.00,0.00,0.00,12.57,192.12,61.80,32.17,0,4,4,2024-02-21,2024-02-21,2024-02-25
160,14115,444,18,4,14,6,16,NULL,5,4,200.29,36.59,20.07,7.15,11.46,182.31,48.36,26.53,2,5,3,2025-03-19,2025-03-21,2025-03-24
161,710,513,2,23,20,6,18,NULL,7,6,226.11,46.82,22.83,7.86,17.93,205.08,46.68,22.76,NULL,NULL,NULL,2025-05-27,NULL,NULL
162,19274,700,20,22,10,1,19,6,2,2,63.18,0.00,0.00,5.52,4.42,73.12,20.44,27.95,2,7,5,2025-11-30,2025-12-02,2025-12-07
163,6989,677,6,22,19,5,18,NULL,2,2,103.51,17.97,17.59,5.51,11.12,102.17,33.57,32.86,NULL,NULL,NULL,2025-11-07,NULL,NULL
