product_id,product_name,category,brand,unit_price,unit_cost,avg_rating,active
PROD10063,Trueform Power Bank,Electronics,Trueform,18.28,12.16,4.0,False
PROD10064,Kensho Mechanical Keyboard,Electronics,Kensho,28.17,13.09,4.8,True
PROD10065,Halcyon Webcam,Electronics,Halcyon,21.07,13.92,4.3,True
PROD10066,Kensho Webcam,Electronics,Kensho,33.79,16.56,4.2,True
PROD10067,Halcyon Mechanical Keyboard,Electronics,Halcyon,41.89,20.0,3.6,True
PROD10068,Kensho Wireless Earbuds,Electronics,Kensho,18.61,10.52,4.2,False
PROD10069,Verdant Smart Watch,Electronics,Verdant,23.71,11.48,3.9,True
PROD10070,Halcyon Mechanical Keyboard,Electronics,Halcyon,29.9,15.38,3.5,True
PROD10071,Northline Wireless Earbuds,Electronics,Northline,15.0,8.31,4.2,True
PROD10072,Aurex Bluetooth Speaker,Electronics,Aurex,19.85,10.06,3.9,True
PROD10073,Halcyon Bluetooth Speaker,Electronics,Halcyon,20.95,13.52,4.1,True
PROD10074,Trueform Noise-Cancelling Headphones,Electronics,Trueform,60.65,35.08,3.4,True
PROD10075,Halcyon Power Bank,Electronics,Halcyon,22.91,15.02,3.8,True
PROD10076,Nimbus Leather Belt,Apparel,Nimbus,31.55,17.54,4.0,True
PROD10077,Halcyon Denim Jacket,Apparel,Halcyon,57.16,36.33,4.8,True
PROD10078,Marlow & Co Leather Belt,Apparel,Marlow & Co,52.73,35.29,4.5,True
PROD10079,Bluepeak Leather Belt,Apparel,Bluepeak,44.66,29.59,3.9,True
PROD10080,Aurex Yoga Pants,Apparel,Aurex,30.21,14.4,3.7,True
PROD10081,Cedar Grove Denim Jacket,Apparel,Cedar Grove,60.0,34.42,3.6,True
PROD10082,Halcyon Wool Sweater,Apparel,Halcyon,27.27,12.96,4.8,True
PROD10083,Trueform Wool Sweater,Apparel,Trueform,43.88,27.36,4.9,True
PROD10084,Bluepeak Hooded Sweatshirt,Apparel,Bluepeak,21.81,10.02,3.9,True
PROD10085,Marlow & Co Denim Jacket,Apparel,Marlow & Co,48.19,26.65,4.1,True
PROD10086,Nimbus Yoga Pants,Apparel,Nimbus,13.84,8.7,3.8,False
PROD10087,Verdant Hooded Sweatshirt,Apparel,Verdant,22.0,12.62,4.1,True
PROD10088,Trueform Running Shoes,Apparel,Trueform,22.43,10.29,4.4,True
PROD10089,Marlow & Co Denim Jacket,Apparel,Marlow & Co,15.9,7.21,4.7,False
PROD10090,Cedar Grove Leather Belt,Apparel,Cedar Grove,8.0,4.51,4.2,True
PROD10091,Nimbus Wool Sweater,Apparel,Nimbus,15.99,10.22,3.9,True
PROD10092,Northline Leather Belt,Apparel,Northline,15.28,7.23,3.4,True
PROD10093,Verdant Rain Jacket,Apparel,Verdant,9.99,5.21,3.7,True
PROD10094,Marlow & Co Cotton T-Shirt,Apparel,Marlow & Co,40.95,27.49,4.4,True
PROD10095,Marlow & Co Cotton T-Shirt,Apparel,Marlow & Co,11.14,6.48,4.2,True
PROD10096,Bluepeak Denim Jacket,Apparel,Bluepeak,20.51,9.72,3.7,True
PROD10097,Trueform Running Shoes,Apparel,Trueform,27.4,13.02,4.3,True
PROD10098,Verdant Slim Fit Jeans,Apparel,Verdant,26.44,17.43,4.6,True
PROD10099,Cedar Grove Leather Belt,Apparel,Cedar Grove,24.93,14.29,,False
PROD10100,Verdant Denim Jacket,Apparel,Verdant,54.02,30.99,4.2,True
PROD10101,Verdant Yoga Pants,Apparel,Verdant,23.2,15.29,5.0,False
PROD10102,Aurex Hooded Sweatshirt,Apparel,Aurex,30.05,13.8,4.8,True
PROD10103,Kensho Baseball Cap,Apparel,Kensho,28.9,18.72,4.2,True
PROD10104,Northline Slim Fit Jeans,Apparel,Northline,16.22,10.83,3.4,True
PROD10105,Marlow & Co Wool Sweater,Apparel,Marlow & Co,22.11,10.74,4.6,True
PROD10106,Nimbus Hooded Sweatshirt,Apparel,Nimbus,16.96,8.07,4.2,False
PROD10107,Verdant Cotton T-Shirt,Apparel,Verdant,17.4,8.88,4.4,True
PROD10108,Nimbus Hooded Sweatshirt,Apparel,Nimbus,29.23,18.56,4.3,True
PROD10109,Cedar Grove Hooded Sweatshirt,Apparel,Cedar Grove,60.0,38.57,4.2,False
PROD10110,Bluepeak Wool Sweater,Apparel,Bluepeak,8.0,4.3,,True
PROD10111,Bluepeak Wool Sweater,Apparel,Bluepeak,16.7,7.71,3.8,True
PROD10112,Verdant Denim Jacket,Apparel,Verdant,8.57,4.44,4.6,True
PROD10113,Kensho Rain Jacket,Apparel,Kensho,16.96,11.45,,True
PROD10114,Verdant Slim Fit Jeans,Apparel,Verdant,60.0,33.75,3.9,True
PROD10115,Bluepeak Hooded Sweatshirt,Apparel,Bluepeak,22.86,15.44,5.0,True
PROD10116,Aurex Cotton T-Shirt,Apparel,Aurex,39.63,18.77,3.7,True
PROD10117,Cedar Grove Rain Jacket,Apparel,Cedar Grove,23.27,13.5,4.2,True
PROD10118,Cedar Grove Wool Sweater,Apparel,Cedar Grove,30.08,15.69,3.9,False
PROD10119,Marlow & Co Cotton T-Shirt,Apparel,Marlow & Co,16.26,10.55,,False
PROD10120,Halcyon Running Shoes,Apparel,Halcyon,52.38,30.09,4.5,True
PROD10121,Verdant Hooded Sweatshirt,Apparel,Verdant,30.48,17.83,4.0,True
PROD10122,Trueform Hooded Sweatshirt,Apparel,Trueform,19.67,9.34,3.5,False
PROD10123,Bluepeak Slim Fit Jeans,Apparel,Bluepeak,32.63,16.57,3.9,True
PROD10124,Aurex Running Shoes,Apparel,Aurex,44.32,28.19,4.2,True
PROD10125,Nimbus Hooded Sweatshirt,Apparel,Nimbus,60.0,38.98,4.6,True
PROD10126,Verdant Yoga Pants,Apparel,Verdant,60.0,,4.4,True
PROD10127,Trueform Rain Jacket,Apparel,Trueform,27.52,16.43,3.7,True
PROD10128,Halcyon Denim Jacket,Apparel,Halcyon,17.16,8.23,4.0,True
PROD10129,Kensho Slim Fit Jeans,Apparel,Kensho,20.1,10.63,4.6,True
PROD10130,Cedar Grove Cotton T-Shirt,Apparel,Cedar Grove,17.77,10.06,4.1,True
PROD10131,Aurex Running Shoes,Apparel,Aurex,22.36,13.62,3.7,False
PROD10132,Aurex Yoga Pants,Apparel,Aurex,30.94,17.5,4.6,True
PROD10133,Nimbus Rain Jacket,Apparel,Nimbus,34.76,18.03,4.3,False
PROD10134,Halcyon Cotton T-Shirt,Apparel,Halcyon,32.59,16.79,4.2,True
PROD10135,Halcyon Yoga Pants,Apparel,Halcyon,44.71,26.17,3.4,True
PROD10136,Aurex Cotton T-Shirt,Apparel,Aurex,27.88,17.84,4.7,True
PROD10137,Nimbus Baseball Cap,Apparel,Nimbus,47.54,31.68,4.6,True
PROD10138,Verdant Yoga Pants,Apparel,Verdant,15.4,10.35,3.7,True
PROD10139,Marlow & Co Cotton T-Shirt,Apparel,Marlow & Co,8.09,5.41,4.4,True
PROD10140,Halcyon Running Shoes,Apparel,Halcyon,11.12,7.47,4.5,True
PROD10141,Marlow & Co Hooded Sweatshirt,Apparel,Marlow & Co,60.0,35.67,3.9,True
PROD10142,Trueform Wool Sweater,Apparel,Trueform,23.65,15.15,4.5,False
PROD10143,Verdant Leather Belt,Apparel,Verdant,60.0,36.78,4.3,True
PROD10144,Northline Baseball Cap,Apparel,Northline,20.87,10.39,3.6,True
PROD10145,Nimbus Yoga Pants,Apparel,Nimbus,33.08,15.81,4.3,True
PROD10146,Marlow & Co Wool Sweater,Apparel,Marlow & Co,38.39,22.74,4.7,True
PROD10147,Nimbus Slim Fit Jeans,Apparel,Nimbus,37.01,21.47,4.2,False
PROD10148,Marlow & Co Hooded Sweatshirt,Apparel,Marlow & Co,18.17,12.34,3.8,True
PROD10149,Verdant Denim Jacket,Apparel,Verdant,28.5,14.19,4.0,False
PROD10150,Bluepeak Wool Sweater,Apparel,Bluepeak,53.04,26.78,4.8,True
PROD10151,Verdant Air Fryer,Home & Kitchen,Verdant,17.95,10.13,4.4,True
PROD10152,Bluepeak Blender,Home & Kitchen,Bluepeak,14.7,7.24,4.0,True
PROD10153,Cedar Grove Table Lamp,Home & Kitchen,Cedar Grove,12.96,7.3,4.4,True
PROD10154,Verdant Blender,Home & Kitchen,Verdant,22.04,11.12,4.7,True
PROD10155,Northline Air Fryer,Home & Kitchen,Northline,70.77,37.75,4.0,True
PROD10156,Kensho Non-Stick Pan,Home & Kitchen,Kensho,19.52,9.57,4.2,True
PROD10157,Kensho Coffee Maker,Home & Kitchen,Kensho,15.26,10.36,4.7,False
PROD10158,Trueform Air Fryer,Home & Kitchen,Trueform,17.95,9.4,4.5,True
PROD10159,Nimbus Blender,Home & Kitchen,Nimbus,67.71,40.39,3.9,True
PROD10160,Northline Throw Pillow,Home & Kitchen,Northline,21.25,,3.6,True
PROD10161,Nimbus Cutting Board,Home & Kitchen,Nimbus,31.68,21.51,4.6,False
PROD10162,Bluepeak Table Lamp,Home & Kitchen,Bluepeak,64.39,35.06,,True
PROD10163,Northline Throw Pillow,Home & Kitchen,Northline,25.45,14.12,4.2,False
PROD10164,Nimbus Throw Pillow,Home & Kitchen,Nimbus,48.73,29.53,4.2,True
PROD10165,Trueform Cutting Board,Home & Kitchen,Trueform,6.6,3.58,4.4,True
PROD10166,Northline Non-Stick Pan,Home & Kitchen,Northline,90.0,46.19,4.2,True
PROD10167,Cedar Grove Non-Stick Pan,Home & Kitchen,Cedar Grove,33.02,20.61,4.6,True
PROD10168,Bluepeak Blender,Home & Kitchen,Bluepeak,42.46,23.58,3.9,True
PROD10169,Marlow & Co Throw Pillow,Home & Kitchen,Marlow & Co,13.33,6.28,4.1,True
PROD10170,Halcyon Throw Pillow,Home & Kitchen,Halcyon,21.49,10.72,3.8,False
PROD10171,Northline Table Lamp,Home & Kitchen,Northline,30.75,18.4,4.5,True
PROD10172,Marlow & Co Blender,Home & Kitchen,Marlow & Co,31.78,20.37,,True
PROD10173,Marlow & Co Table Lamp,Home & Kitchen,Marlow & Co,89.57,41.89,3.6,True
PROD10174,Nimbus Cutting Board,Home & Kitchen,Nimbus,34.72,21.7,4.6,True
PROD10175,Kensho Cutlery Set,Home & Kitchen,Kensho,14.67,7.32,4.9,True
PROD10176,Halcyon Blender,Home & Kitchen,Halcyon,34.51,23.46,4.5,False
PROD10177,Cedar Grove Storage Bins,Home & Kitchen,Cedar Grove,15.24,10.05,4.3,True
PROD10178,Northline Cutting Board,Home & Kitchen,Northline,30.55,14.59,4.3,True
PROD10179,Kensho Cutting Board,Home & Kitchen,Kensho,28.57,13.37,3.9,True
PROD10180,Trueform Throw Pillow,Home & Kitchen,Trueform,22.07,10.67,3.3,True
PROD10181,Bluepeak Cutlery Set,Home & Kitchen,Bluepeak,15.24,7.78,4.5,True
PROD10182,Bluepeak Cutlery Set,Home & Kitchen,Bluepeak,16.85,10.59,4.8,False
PROD10183,Northline Coffee Maker,Home & Kitchen,Northline,21.67,13.05,3.5,True
PROD10184,Cedar Grove Table Lamp,Home & Kitchen,Cedar Grove,31.93,20.72,4.2,False
PROD10185,Northline Throw Pillow,Home & Kitchen,Northline,17.49,9.67,4.3,True
PROD10186,Bluepeak Bath Towel Set,Home & Kitchen,Bluepeak,16.83,10.46,4.1,False
PROD10187,Nimbus Throw Pillow,Home & Kitchen,Nimbus,33.5,15.74,4.3,False
PROD10188,Cedar Grove Non-Stick Pan,Home & Kitchen,Cedar Grove,35.24,23.33,4.5,True
PROD10189,Verdant Throw Pillow,home & kitchen,Verdant,11.78,7.82,4.6,True
PROD10190,Aurex Cutting Board,Home & Kitchen,Aurex,38.56,21.82,4.1,True
PROD10191,Kensho Table Lamp,Home & Kitchen,Kensho,53.11,35.88,4.5,False
PROD10192,Nimbus Blender,Home & Kitchen,Nimbus,17.91,,3.9,True
PROD10193,Halcyon Coffee Maker,Home & Kitchen,Halcyon,20.27,11.89,4.5,True
PROD10194,Kensho Blender,Home & Kitchen,Kensho,10.28,5.69,4.2,True
PROD10195,Bluepeak Air Fryer,Home & Kitchen,Bluepeak,90.0,56.38,4.3,True
PROD10196,Verdant Bath Towel Set,Home & Kitchen,Verdant,25.9,14.99,3.9,True
PROD10197,Northline Air Fryer,Home & Kitchen,Northline,13.1,7.76,4.6,True
PROD10198,Trueform Air Fryer,Home & Kitchen,Trueform,26.62,14.03,4.4,True
PROD10199,Nimbus Throw Pillow,Home & Kitchen,Nimbus,27.37,12.34,4.6,False
PROD10200,Nimbus Bath Towel Set,Home & Kitchen,Nimbus,13.42,7.81,4.1,False
PROD10201,Cedar Grove Coffee Maker,Home & Kitchen,Cedar Grove,58.28,31.68,4.5,True
PROD10202,Cedar Grove Non-Stick Pan,Home & Kitchen,Cedar Grove,19.37,11.0,3.8,True
PROD10203,Cedar Grove Storage Bins,Home & Kitchen,Cedar Grove,19.35,11.9,4.3,False
PROD10204,Cedar Grove Bath Towel Set,Home & Kitchen,Cedar Grove,15.99,9.72,3.9,True
PROD10205,Nimbus Bath Towel Set,Home & Kitchen,Nimbus,27.13,16.99,4.0,True
PROD10206,Bluepeak Cutting Board,Home & Kitchen,Bluepeak,26.53,13.15,4.1,True
PROD10207,Cedar Grove Cutting Board,Home & Kitchen,Cedar Grove,31.65,18.45,,True
PROD10208,Aurex Non-Stick Pan,Home & Kitchen,Aurex,31.98,18.81,3.7,True
PROD10209,Verdant Non-Stick Pan,home & kitchen,Verdant,90.0,44.15,4.0,True
PROD10210,Trueform Table Lamp,Home & Kitchen,Trueform,45.58,21.35,4.4,True
PROD10211,Bluepeak Throw Pillow,Home & Kitchen,Bluepeak,9.1,5.83,4.3,True
PROD10212,Nimbus Air Fryer,Home & Kitchen,Nimbus,45.38,27.59,4.7,True
PROD10213,Verdant Cutlery Set,Home & Kitchen,Verdant,35.38,21.9,4.4,True
PROD10214,Marlow & Co Coffee Maker,Home & Kitchen,Marlow & Co,73.93,33.54,4.4,True
PROD10215,Nimbus Coffee Maker,Home & Kitchen,Nimbus,50.06,26.12,4.2,False
PROD10216,Verdant Throw Pillow,home & kitchen,Verdant,28.21,13.51,3.4,True
PROD10217,Trueform Cutlery Set,Home & Kitchen,Trueform,44.41,20.28,4.3,True
PROD10218,Aurex Storage Bins,Home & Kitchen,Aurex,35.61,17.81,4.5,True
PROD10219,Nimbus Blender,Home & Kitchen,Nimbus,26.79,12.39,4.4,True
PROD10220,Kensho Cutting Board,Home & Kitchen,Kensho,28.39,15.5,4.4,True
PROD10221,Aurex Cutlery Set,Home & Kitchen,Aurex,6.0,4.02,3.8,True
PROD10222,Northline Non-Stick Pan,Home & Kitchen,Northline,32.7,14.96,4.0,True
PROD10223,Aurex Bath Towel Set,Home & Kitchen,Aurex,44.34,25.1,4.4,True
PROD10224,Cedar Grove Cutlery Set,Home & Kitchen,Cedar Grove,58.58,31.96,4.2,True
PROD10225,Bluepeak Non-Stick Pan,Home & Kitchen,Bluepeak,14.04,8.78,,True
PROD10226,Northline Electric Toothbrush,Beauty & Personal Care,Northline,24.09,12.84,4.3,True
PROD10227,Aurex Facial Cleanser,Beauty & Personal Care,Aurex,40.0,23.73,4.2,False
PROD10228,Kensho Facial Cleanser,Beauty & Personal Care,Kensho,9.33,5.49,,True
PROD10229,Northline Electric Toothbrush,Beauty & Personal Care,Northline,8.81,4.51,4.2,True
PROD10230,Nimbus Facial Cleanser,Beauty & Personal Care,Nimbus,25.54,16.99,4.7,False
PROD10231,Aurex Sunscreen SPF50,Beauty & Personal Care,Aurex,13.55,8.8,4.8,True
PROD10232,Verdant Sunscreen SPF50,Beauty & Personal Care,Verdant,12.91,7.73,4.2,True
PROD10233,Bluepeak Electric Toothbrush,Beauty & Personal Care,Bluepeak,20.89,11.03,4.0,True
PROD10234,Nimbus Body Lotion,Beauty & Personal Care,Nimbus,13.55,7.39,4.7,True
PROD10235,Marlow & Co Lip Balm Set,Beauty & Personal Care,Marlow & Co,25.71,13.04,,False
PROD10236,Marlow & Co Lip Balm Set,Beauty & Personal Care,Marlow & Co,40.0,22.64,3.7,True
PROD10237,Aurex Electric Toothbrush,Beauty & Personal Care,Aurex,37.09,23.42,5.0,True
PROD10238,Verdant Hair Dryer,Beauty & Personal Care,Verdant,27.91,18.72,4.0,True
PROD10239,Verdant Lip Balm Set,Beauty & Personal Care,Verdant,24.13,15.88,4.1,True
PROD10240,Northline Lip Balm Set,Beauty & Personal Care,Northline,40.0,26.48,3.9,True
PROD10241,Halcyon Nail Care Kit,Beauty & Personal Care,Halcyon,40.0,23.91,4.3,True
PROD10242,Trueform Lip Balm Set,Beauty & Personal Care,Trueform,28.99,14.18,4.3,True
PROD10243,Aurex Perfume,Beauty & Personal Care,Aurex,25.94,14.36,4.2,True
PROD10244,Nimbus Sunscreen SPF50,Beauty & Personal Care,Nimbus,40.0,25.54,4.3,True
PROD10245,Halcyon Sunscreen SPF50,Beauty & Personal Care,Halcyon,35.53,22.59,4.2,False
PROD10246,Marlow & Co Shampoo,Beauty & Personal Care,Marlow & Co,16.81,10.57,3.8,True
PROD10247,Northline Lip Balm Set,Beauty & Personal Care,Northline,19.45,13.13,3.8,True
PROD10248,Northline Body Lotion,Beauty & Personal Care,Northline,10.9,5.42,4.6,True
PROD10249,Verdant Hair Dryer,Beauty & Personal Care,Verdant,28.87,17.87,3.3,True
PROD10250,Halcyon Body Lotion,Beauty & Personal Care,Halcyon,15.66,9.75,4.1,True
PROD10251,Kensho Sunscreen SPF50,Beauty & Personal Care,Kensho,5.41,2.52,4.5,True
PROD10252,Cedar Grove Lip Balm Set,Beauty & Personal Care,Cedar Grove,13.54,6.68,4.1,True
PROD10253,Trueform Hair Dryer,Beauty & Personal Care,Trueform,19.9,11.29,4.2,True
PROD10254,Halcyon Nail Care Kit,Beauty & Personal Care,Halcyon,13.15,6.96,4.2,True
PROD10255,Aurex Electric Toothbrush,Beauty & Personal Care,Aurex,11.69,7.22,4.2,False
PROD10256,Nimbus Nail Care Kit,Beauty & Personal Care,Nimbus,20.53,10.54,4.4,True
PROD10257,Bluepeak Perfume,Beauty & Personal Care,Bluepeak,36.09,21.05,3.9,False
PROD10258,Marlow & Co Electric Toothbrush,Beauty & Personal Care,Marlow & Co,17.29,7.93,4.1,False
PROD10259,Kensho Sunscreen SPF50,Beauty & Personal Care,Kensho,24.15,15.81,3.8,False
PROD10260,Marlow & Co Lip Balm Set,Beauty & Personal Care,Marlow & Co,18.31,8.7,4.0,True
PROD10261,Cedar Grove Body Lotion,Beauty & Personal Care,Cedar Grove,19.08,12.73,4.5,True
PROD10262,Bluepeak Shampoo,Beauty & Personal Care,Bluepeak,40.0,27.04,,True
PROD10263,Bluepeak Electric Toothbrush,Beauty & Personal Care,Bluepeak,40.0,26.95,4.1,True
PROD10264,Verdant Vitamin C Serum,Beauty & Personal Care,Verdant,28.78,17.09,4.0,True
PROD10265,Halcyon Nail Care Kit,Beauty & Personal Care,Halcyon,40.0,18.18,4.6,True
PROD10266,Halcyon Lip Balm Set,Beauty & Personal Care,Halcyon,40.0,18.38,4.3,True
PROD10267,Verdant Sunscreen SPF50,Beauty & Personal Care,Verdant,14.25,,,True
PROD10268,Aurex Hair Dryer,Beauty & Personal Care,Aurex,40.0,20.16,4.1,True
PROD10269,Kensho Electric Toothbrush,Beauty & Personal Care,Kensho,13.77,8.47,4.6,True
PROD10270,Verdant Electric Toothbrush,Beauty & Personal Care,Verdant,22.86,12.59,4.4,True
PROD10271,Bluepeak Electric Toothbrush,Beauty & Personal Care,Bluepeak,40.0,25.81,4.0,True
PROD10272,Verdant Hair Dryer,Beauty & Personal Care,Verdant,40.0,25.29,4.2,True
PROD10273,Kensho Electric Toothbrush,Beauty & Personal Care,Kensho,19.05,10.32,4.3,True
PROD10274,Bluepeak Shampoo,Beauty & Personal Care,Bluepeak,22.2,11.44,4.3,True
PROD10275,Verdant Lip Balm Set,Beauty & Personal Care,Verdant,13.63,6.47,3.7,True
PROD10276,Nimbus Facial Cleanser,Beauty & Personal Care,Nimbus,34.39,17.92,4.4,True
PROD10277,Verdant Electric Toothbrush,Beauty & Personal Care,Verdant,40.0,21.49,4.1,True
PROD10278,Trueform Electric Toothbrush,Beauty & Personal Care,Trueform,20.35,10.47,4.7,True
PROD10279,Verdant Perfume,Beauty & Personal Care,Verdant,40.0,25.59,4.8,True
PROD10280,Nimbus Facial Cleanser,Beauty & Personal Care,Nimbus,20.9,12.08,4.3,True
PROD10281,Kensho Lip Balm Set,Beauty & Personal Care,Kensho,12.64,6.27,4.7,True
PROD10282,Bluepeak Shampoo,Beauty & Personal Care,Bluepeak,40.0,19.29,4.5,True
PROD10283,Halcyon Shampoo,Beauty & Personal Care,Halcyon,39.68,24.18,4.5,True
PROD10284,Bluepeak Vitamin C Serum,Beauty & Personal Care,Bluepeak,24.01,15.65,3.3,True
PROD10285,Northline Shampoo,Beauty & Personal Care,Northline,24.45,15.94,4.0,True
PROD10286,Aurex Facial Cleanser,Beauty & Personal Care,Aurex,9.18,5.65,4.2,True
PROD10287,Verdant Vitamin C Serum,Beauty & Personal Care,Verdant,32.11,16.85,,True
PROD10288,Marlow & Co Body Lotion,Beauty & Personal Care,Marlow & Co,19.61,9.21,3.6,False
PROD10289,Kensho Hair Dryer,Beauty & Personal Care,Kensho,18.29,11.06,,True
PROD10290,Verdant Vitamin C Serum,Beauty & Personal Care,Verdant,30.48,14.01,5.0,True
PROD10291,Verdant Electric Toothbrush,Beauty & Personal Care,Verdant,38.97,20.76,3.6,True
PROD10292,Aurex Lip Balm Set,Beauty & Personal Care,Aurex,36.26,20.96,5.0,False
PROD10293,Marlow & Co Sunscreen SPF50,Beauty & Personal Care,Marlow & Co,32.81,20.23,4.5,True
PROD10294,Kensho Perfume,Beauty & Personal Care,Kensho,19.53,12.36,4.8,True
PROD10295,Bluepeak Hair Dryer,Beauty & Personal Care,Bluepeak,40.0,24.05,4.0,True
PROD10296,Verdant Lip Balm Set,Beauty & Personal Care,Verdant,40.0,25.33,3.9,True
PROD10297,Halcyon Shampoo,Beauty & Personal Care,Halcyon,10.44,5.41,4.2,True
PROD10298,Verdant Vitamin C Serum,Beauty & Personal Care,Verdant,10.82,6.17,4.4,True
PROD10299,Marlow & Co Shampoo,Beauty & Personal Care,Marlow & Co,40.0,26.53,2.9,True
